temperature,blood_pressure,heart_rate,breathing_rate,vertical_speed,horizontal_speed
36.9,96.0,93.8,10.9,0.4,0.0
36.1,121.0,82.7,19.3,0.3,0.1
36.2,105.0,77.1,3.2,1.6,0.5
36.5,116.0,111.8,25.5,0.0,0.9
36.8,101.0,62.2,14.5,0.4,0.8
37.5,108.0,112.8,11.3,2.7,0.5
37.3,116.0,75.9,20.4,3.3,0.1
37.0,135.0,72.6,7.1,2.9,0.0
36.5,86.0,90.3,24.0,3.7,0.6
36.7,136.0,95.4,25.6,1.0,0.5
36.2,119.0,81.1,19.0,0.3,0.5
36.3,87.0,89.1,7.5,2.3,0.9
37.2,112.0,105.0,22.9,1.3,0.0
37.3,110.0,99.9,24.6,0.2,0.3
37.8,136.0,65.9,12.6,2.6,0.4
37.2,80.0,79.9,6.3,3.5,0.9
37.4,100.0,112.2,15.9,2.5,0.7
35.8,115.0,79.9,2.9,3.5,0.2
37.3,96.0,97.3,25.7,0.6,0.8
35.9,97.0,87.9,21.4,3.5,0.9
37.0,94.0,95.6,1.0,3.9,0.9
37.8,116.0,92.2,1.6,0.7,0.0
36.8,133.0,74.0,21.0,2.4,0.7
37.3,124.0,81.4,21.4,2.0,0.9
35.8,101.0,119.4,3.5,3.9,0.9
36.8,88.0,69.7,10.7,1.6,0.4
36.0,105.0,78.1,7.5,0.3,0.7
37.4,115.0,70.6,15.5,1.9,0.3
36.8,128.0,62.8,3.4,3.1,0.4
36.7,117.0,96.1,21.3,2.5,0.5
37.1,108.0,75.1,0.1,0.4,0.6
35.9,92.0,92.2,24.2,1.9,0.2
36.2,102.0,111.0,21.3,0.7,0.2
37.1,83.0,64.5,5.5,0.5,0.0
37.7,110.0,80.6,20.6,0.1,0.9
37.4,104.0,81.7,17.5,3.2,0.3
36.2,89.0,89.8,14.1,1.2,0.2
37.6,95.0,81.2,24.5,3.9,0.2
37.1,130.0,75.2,6.6,1.0,0.9
35.8,106.0,116.9,19.9,3.8,0.6
35.9,125.0,82.2,23.5,2.0,0.8
36.6,86.0,77.0,21.7,1.1,0.0
37.8,139.0,120.4,3.0,2.8,0.7
36.5,92.0,79.0,20.9,1.2,0.2
35.9,108.0,69.4,0.7,0.0,0.8
36.0,138.0,63.6,15.2,0.6,0.9
37.2,137.0,71.9,20.3,3.5,0.0
36.0,122.0,82.1,10.4,2.9,0.2
36.9,119.0,81.0,10.0,1.5,0.6
36.4,118.0,73.0,9.2,1.6,0.0
36.5,117.0,73.7,2.6,1.9,0.7
36.7,97.0,88.3,2.0,2.5,0.7
37.8,99.0,77.0,21.8,0.3,0.1
37.7,110.0,93.3,20.2,3.8,0.2
36.8,117.0,96.7,17.7,1.2,0.7
36.7,119.0,114.8,19.8,1.5,0.2
37.1,108.0,75.7,22.8,2.5,0.4
36.5,132.0,116.8,9.8,2.9,0.2
36.0,126.0,71.3,10.0,0.1,0.1
36.7,117.0,60.1,17.6,3.3,0.5
37.0,131.0,67.0,6.3,2.0,0.0
36.2,135.0,100.4,10.7,1.9,0.3
37.8,104.0,90.5,5.5,2.5,0.8
37.5,120.0,116.3,8.8,2.6,0.2
37.8,126.0,89.1,0.0,3.8,0.2
36.9,127.0,76.7,11.5,2.6,0.4
35.9,138.0,61.2,14.0,1.0,0.6
36.4,82.0,75.3,23.8,2.1,0.6
35.9,100.0,99.3,11.5,3.5,0.8
37.2,84.0,95.7,20.5,3.2,0.3
37.6,128.0,98.2,21.5,2.8,0.8
37.0,123.0,104.7,16.4,1.7,0.1
36.6,109.0,76.7,21.2,3.6,0.3
36.8,102.0,101.5,5.1,3.7,0.9
36.4,92.0,114.2,24.4,2.2,0.5
36.5,107.0,109.6,24.4,3.0,0.3
36.3,129.0,73.5,20.9,0.5,0.8
36.5,120.0,73.0,2.2,2.3,0.7
36.0,103.0,97.9,17.6,3.8,0.7
37.2,104.0,69.5,14.3,3.3,0.1
36.0,86.0,88.1,10.7,2.2,0.0
37.3,120.0,81.3,21.7,2.2,0.1
37.5,85.0,67.3,19.9,3.0,0.4
37.8,113.0,60.0,19.3,2.9,0.9
37.7,129.0,106.8,2.2,3.4,0.5
37.7,125.0,67.4,17.5,3.0,0.7
37.1,121.0,110.0,5.5,3.7,0.0
37.0,132.0,91.5,25.7,0.8,0.2
37.0,140.0,106.3,6.5,3.3,0.2
37.4,127.0,72.8,21.6,3.5,0.3
36.4,91.0,96.3,11.0,1.2,0.1
36.6,92.0,72.4,16.0,2.8,0.6
37.3,120.0,93.1,17.8,1.6,0.7
37.0,110.0,101.0,7.2,3.5,0.8
35.9,93.0,111.6,10.5,3.5,0.5
36.1,134.0,91.7,3.5,2.2,0.5
37.7,87.0,96.0,16.7,1.7,0.6
37.6,134.0,96.6,23.0,2.7,0.6
37.3,91.0,79.0,19.0,2.5,0.6
36.9,113.0,74.7,2.2,3.8,0.3
37.5,82.0,96.8,24.7,0.3,0.6
36.6,132.0,67.4,4.0,1.3,0.8
37.1,112.0,75.6,25.5,0.1,0.8
36.5,101.0,114.3,17.1,0.5,0.3
37.0,133.0,107.0,13.8,2.7,0.3
36.8,81.0,109.7,5.3,2.7,0.7
35.8,119.0,88.2,3.5,3.5,0.5
37.8,118.0,108.4,4.9,1.8,0.0
35.9,105.0,106.2,11.7,3.6,0.9
37.6,97.0,80.7,25.5,3.5,0.4
36.6,125.0,65.2,1.2,1.5,0.5
36.9,108.0,60.7,18.9,0.8,0.9
37.7,90.0,73.5,8.8,3.1,0.1
37.4,86.0,114.3,5.2,3.8,0.0
37.4,93.0,116.9,21.8,2.4,0.6
37.1,109.0,120.0,11.5,3.9,0.3
37.4,137.0,75.4,17.1,1.8,0.5
37.1,123.0,76.7,20.3,3.9,0.4
37.8,88.0,71.9,14.0,3.9,0.3
35.9,83.0,86.9,7.1,1.6,0.3
37.4,139.0,78.1,11.7,1.8,0.2
36.2,111.0,65.7,12.6,2.6,0.5
36.8,107.0,112.6,22.7,3.8,0.5
37.7,91.0,81.3,13.4,3.6,0.1
37.8,97.0,82.5,15.2,3.0,0.4
35.8,123.0,67.6,7.9,0.8,0.0
37.7,88.0,81.1,21.0,2.5,0.8
35.8,87.0,76.8,9.6,3.8,0.8
37.2,117.0,80.6,22.3,1.3,0.3
37.0,133.0,106.8,1.1,2.0,0.0
36.4,136.0,61.9,22.2,0.9,0.4
37.4,124.0,89.6,25.8,1.4,0.7
37.4,133.0,60.7,25.0,2.9,0.9
37.1,103.0,107.7,2.7,2.9,0.6
37.6,138.0,116.1,19.5,3.7,0.0
36.9,126.0,83.4,20.9,1.5,0.3
36.6,109.0,74.3,0.0,3.5,0.6
37.8,93.0,79.7,21.8,2.3,0.3
36.4,124.0,115.9,8.6,2.0,0.1
36.5,84.0,85.8,8.2,1.0,0.5
37.5,99.0,75.9,8.2,3.7,0.3
36.4,125.0,74.0,17.4,0.1,0.7
37.1,110.0,67.1,23.9,1.3,0.9
36.5,107.0,114.2,7.0,3.2,0.1
36.9,96.0,73.9,6.1,3.3,0.0
37.4,128.0,107.1,25.7,1.1,0.0
37.7,113.0,103.9,23.4,2.3,0.8
37.6,132.0,81.1,11.1,1.0,0.8
37.8,124.0,101.9,16.8,2.4,0.3
37.3,84.0,110.4,9.0,3.9,0.5
35.8,129.0,115.5,24.9,2.7,0.8
36.2,90.0,93.0,23.8,3.9,0.2
36.4,98.0,62.3,16.5,1.6,0.3
36.1,88.0,87.9,9.9,2.0,0.2
36.6,80.0,116.6,19.6,0.3,0.6
37.3,127.0,96.0,4.8,3.3,0.9
37.5,134.0,82.0,4.5,2.7,0.2
37.7,97.0,83.9,21.8,2.6,0.0
37.3,129.0,90.6,10.9,3.5,0.7
37.3,93.0,112.6,21.1,2.1,0.6
36.0,123.0,92.2,6.4,2.5,0.8
36.8,133.0,113.9,6.2,3.7,0.8
37.5,106.0,65.4,18.7,0.0,0.5
35.9,126.0,64.1,5.7,2.6,0.5
35.9,121.0,80.4,21.1,3.8,0.2
36.4,121.0,79.0,15.8,0.3,0.7
37.0,87.0,63.5,0.7,0.5,0.6
37.7,90.0,93.4,13.2,3.6,0.7
37.0,120.0,71.9,15.7,0.7,0.0
37.7,110.0,65.6,22.7,2.4,0.6
37.4,127.0,116.4,19.3,3.9,0.0
37.4,97.0,97.2,16.5,0.4,0.4
37.3,116.0,115.9,15.6,1.5,0.0
36.6,108.0,116.3,23.5,2.1,0.8
35.9,111.0,95.6,21.4,1.6,0.0
37.0,99.0,86.8,17.6,0.2,0.6
36.6,123.0,70.8,10.7,1.4,0.3
37.6,81.0,63.9,5.0,1.7,0.2
36.1,125.0,77.0,23.8,1.1,0.9
37.3,80.0,98.7,21.7,3.3,0.9
36.8,118.0,95.7,15.8,3.9,0.0
37.1,134.0,78.3,25.2,0.0,0.9
35.9,119.0,69.0,22.4,1.6,0.8
37.7,87.0,93.2,4.5,2.6,0.5
36.7,90.0,62.0,23.5,1.3,0.3
36.1,113.0,72.8,25.1,1.2,0.6
37.7,123.0,60.4,7.6,1.8,0.6
37.4,137.0,60.4,8.6,3.6,0.1
35.9,119.0,116.6,8.8,2.3,0.4
36.3,122.0,84.8,4.0,0.2,0.5
37.7,118.0,89.1,22.4,3.6,0.4
37.7,133.0,104.2,5.9,3.5,0.5
37.8,92.0,86.8,24.6,1.0,0.0
36.1,133.0,61.6,11.2,2.3,0.5
36.4,124.0,97.5,25.4,2.4,0.2
35.8,87.0,75.9,12.1,2.3,0.4
37.5,125.0,86.7,2.4,3.4,0.7
36.4,131.0,87.5,0.3,0.0,0.9
36.6,108.0,69.3,6.0,1.3,0.0
37.2,130.0,93.8,18.5,1.0,0.2
37.4,139.0,71.2,5.1,1.9,0.3
37.3,136.0,100.5,25.6,2.7,0.8
37.1,136.0,61.1,25.3,1.6,0.7
36.5,120.0,115.1,23.2,0.2,0.2
36.3,124.0,113.9,7.4,3.7,0.3
37.5,101.0,98.8,22.1,3.9,0.6
37.6,91.0,99.0,21.9,0.3,0.7
37.3,108.0,79.1,23.8,2.4,0.0
35.8,132.0,97.0,12.3,3.5,0.1
36.7,80.0,112.1,24.3,3.4,0.0
37.0,114.0,82.6,23.3,2.0,0.2
36.0,90.0,71.8,13.2,1.9,0.4
36.9,116.0,104.3,11.8,0.7,0.1
37.4,130.0,78.2,14.7,2.3,0.4
36.7,113.0,107.9,12.5,2.9,0.7
37.3,110.0,63.2,12.0,0.9,0.9
37.8,128.0,66.6,15.8,2.3,0.1
37.0,130.0,120.2,23.7,3.8,0.0
37.1,125.0,61.9,8.9,2.0,0.7
37.5,89.0,78.7,16.9,3.6,0.2
36.8,125.0,103.9,16.0,0.6,0.5
37.0,106.0,72.6,13.9,2.2,0.2
36.5,98.0,96.5,22.5,3.4,0.7
36.7,119.0,102.9,25.3,2.6,0.6
36.8,127.0,74.1,14.2,2.1,0.3
36.0,136.0,118.8,20.1,1.4,0.0
37.1,89.0,93.6,23.3,0.9,0.2
37.8,97.0,101.1,20.4,3.0,0.3
36.6,139.0,117.9,10.4,3.7,0.2
37.8,139.0,74.4,11.7,0.4,0.5
37.8,138.0,113.1,6.9,2.5,0.9
37.6,81.0,79.1,19.3,0.8,0.1
37.6,81.0,100.7,16.4,1.7,0.3
37.2,117.0,81.2,18.5,1.4,0.4
37.1,109.0,64.6,25.6,2.7,0.6
36.0,102.0,84.7,11.9,1.9,0.9
37.0,107.0,70.5,2.1,1.0,0.7
36.2,91.0,83.2,14.1,1.2,0.2
36.2,121.0,83.9,5.1,3.7,0.5
36.6,96.0,106.8,2.5,3.3,0.6
36.9,88.0,89.2,19.3,1.2,0.7
37.5,123.0,60.1,5.6,2.3,0.2
37.2,82.0,100.2,3.4,3.7,0.1
35.8,90.0,76.6,12.9,1.5,0.7
36.4,84.0,68.4,18.1,0.7,0.6
36.1,103.0,109.8,21.2,0.2,0.2
36.5,94.0,100.4,24.2,0.7,0.4
37.3,128.0,60.2,7.8,0.0,0.4
36.8,112.0,61.9,2.0,3.4,0.9
36.9,107.0,118.2,7.8,3.1,0.9
36.6,120.0,67.6,24.0,1.0,0.0
36.3,119.0,87.1,22.8,0.9,0.0
36.7,97.0,83.7,14.7,3.9,0.0
36.4,132.0,97.2,17.5,2.2,0.4
36.8,121.0,89.2,0.3,1.8,0.3
36.7,89.0,75.8,7.7,3.2,0.3
35.9,88.0,103.9,22.2,3.0,0.6
36.4,115.0,98.8,24.8,2.9,0.6
35.9,105.0,65.1,0.7,2.7,0.1
36.9,127.0,86.0,13.6,3.4,0.5
37.4,93.0,101.6,25.4,2.2,0.4
37.6,84.0,67.4,23.5,0.1,0.4
36.7,81.0,98.5,2.8,3.0,0.4
37.7,129.0,67.6,6.3,3.8,0.8
36.7,93.0,89.1,19.6,2.7,0.6
37.8,89.0,119.9,5.7,3.9,0.6
37.8,135.0,82.8,6.7,3.7,0.8
35.9,127.0,63.3,22.4,1.6,0.0
37.1,81.0,119.8,19.8,0.5,0.7
36.1,126.0,116.0,16.8,0.7,0.5
35.9,129.0,93.0,24.8,2.0,0.0
36.9,111.0,86.1,3.9,0.7,0.3
36.9,127.0,101.1,16.5,0.1,0.5
36.6,109.0,83.1,10.3,3.7,0.6
37.2,107.0,87.7,22.1,3.6,0.7
37.6,100.0,98.5,2.8,3.5,0.2
35.8,83.0,101.8,15.4,2.8,0.8
37.0,104.0,99.6,18.4,1.8,0.4
36.4,93.0,114.4,20.1,3.5,0.4
37.0,130.0,77.5,1.4,3.7,0.3
36.7,85.0,66.5,14.6,3.0,0.8
35.8,127.0,80.2,4.0,0.1,0.3
35.8,96.0,62.8,3.7,2.1,0.3
36.2,103.0,116.2,14.6,3.8,0.6
36.5,108.0,79.3,1.3,2.8,0.8
36.2,123.0,80.7,16.1,2.3,0.9
36.6,129.0,102.9,16.1,0.0,0.3
37.4,114.0,70.0,18.8,1.4,0.1
36.6,105.0,68.3,7.7,0.1,0.5
36.7,103.0,108.5,20.4,3.0,0.3
37.6,130.0,76.8,21.5,1.4,0.3
35.9,106.0,106.0,25.5,2.4,0.7
37.5,130.0,85.1,18.9,3.6,0.1
37.2,101.0,61.9,6.7,2.4,0.3
37.3,92.0,64.6,15.3,1.1,0.3
37.0,109.0,72.5,3.5,2.1,0.4
37.7,124.0,84.4,13.9,2.6,0.5
37.0,134.0,96.4,12.2,3.3,0.6
37.5,132.0,83.6,6.5,0.9,0.9
36.0,118.0,65.7,17.0,3.9,0.6
36.9,136.0,60.0,0.0,0.0,0.0
36.0,105.0,102.1,18.6,1.0,0.4
37.6,114.0,72.1,11.6,2.3,0.5
37.5,134.0,103.8,23.0,1.0,0.8
36.9,135.0,77.3,20.5,1.2,0.1
36.9,87.0,109.8,2.2,3.8,0.8
35.9,117.0,109.3,21.0,1.7,0.9
37.8,133.0,65.7,4.3,1.8,0.1
36.6,117.0,66.3,19.4,2.8,0.3
37.6,136.0,78.1,15.7,1.0,0.6
36.8,91.0,75.8,3.8,3.8,0.6
36.1,132.0,107.7,25.7,0.7,0.3
36.8,97.0,111.2,17.0,1.9,0.8
35.8,91.0,63.2,18.7,2.3,0.3
37.4,104.0,79.6,0.2,0.5,0.5
37.4,124.0,60.6,8.8,3.9,0.6
36.1,119.0,73.7,2.6,2.8,0.1
37.8,123.0,77.0,0.3,2.0,0.8
35.9,111.0,83.5,11.6,2.7,0.9
37.5,121.0,107.9,7.2,3.5,0.9
36.4,93.0,89.3,19.6,2.9,0.5
37.8,105.0,117.0,25.6,2.5,0.0
37.2,120.0,98.4,10.2,1.5,0.1
36.6,98.0,91.1,17.9,0.5,0.7
37.4,127.0,84.2,23.7,0.7,0.6
36.1,91.0,113.4,1.7,3.9,0.2
36.0,106.0,67.4,24.0,2.1,0.6
36.5,97.0,78.9,22.9,1.7,0.9
35.8,102.0,78.8,12.8,0.1,0.3
36.2,112.0,67.1,16.9,3.6,0.1
36.9,106.0,89.2,2.2,3.3,0.7
36.7,88.0,83.8,14.7,0.4,0.1
36.2,91.0,92.1,14.7,1.3,0.1
37.3,96.0,63.9,14.9,3.9,0.2
35.8,113.0,62.7,14.4,0.1,0.7
37.6,139.0,120.5,22.9,3.6,0.3
36.1,112.0,79.0,17.4,2.5,0.5
35.8,116.0,71.6,24.8,1.9,0.0
37.2,134.0,66.0,6.9,3.4,0.6
37.5,135.0,60.4,17.6,3.6,0.8
36.0,102.0,118.5,6.3,3.6,0.9
37.5,110.0,71.4,18.4,0.0,0.9
37.1,123.0,62.2,10.1,3.9,0.3
37.7,101.0,82.5,1.7,3.6,0.4
36.4,93.0,75.5,3.8,1.1,0.0
36.9,137.0,77.9,8.1,0.4,0.7
36.0,138.0,77.0,8.9,2.6,0.8
36.3,93.0,87.7,23.3,0.2,0.1
37.1,99.0,84.4,21.9,1.5,0.6
37.7,83.0,74.1,9.1,3.4,0.4
37.3,132.0,102.1,18.0,0.8,0.8
36.1,105.0,91.2,8.1,3.8,0.4
36.9,139.0,84.2,9.9,2.7,0.2
37.8,125.0,86.3,18.3,0.7,0.6
37.7,91.0,96.2,24.9,0.3,0.9
36.1,105.0,68.1,12.3,1.2,0.3
36.3,101.0,113.0,19.5,0.4,0.1
36.3,119.0,102.0,12.3,3.1,0.1
36.7,105.0,60.3,12.6,0.4,0.0
35.9,116.0,63.2,21.1,1.3,0.1
37.6,85.0,110.2,15.2,1.5,0.9
37.3,122.0,77.4,13.9,3.3,0.0
37.0,97.0,94.5,20.3,3.4,0.1
37.0,138.0,105.6,3.2,3.8,0.7
36.1,123.0,78.4,12.8,2.6,0.3
37.7,91.0,81.1,9.6,1.0,0.9
37.8,91.0,96.3,8.5,2.7,0.6
37.1,102.0,100.3,11.7,2.8,0.0
36.6,105.0,90.0,4.9,2.3,0.1
36.9,84.0,70.0,24.0,2.7,0.6
35.9,123.0,70.2,3.7,1.8,0.0
36.9,105.0,82.5,9.0,1.6,0.7
36.0,139.0,113.3,15.8,2.1,0.1
36.0,140.0,112.8,22.4,2.5,0.1
37.5,135.0,88.7,3.1,0.1,0.1
37.1,138.0,73.7,9.7,0.2,0.4
37.2,82.0,84.4,25.5,1.1,0.8
36.7,103.0,85.0,19.1,1.8,0.6
36.1,133.0,77.0,2.7,3.3,0.7
36.1,139.0,108.8,24.5,0.6,0.9
37.2,96.0,91.2,22.0,3.7,0.6
36.0,100.0,63.5,17.5,2.1,0.0
36.6,86.0,104.4,24.6,1.9,0.6
37.1,112.0,108.1,15.6,1.4,0.8
36.4,100.0,76.6,9.4,1.7,0.1
37.1,132.0,100.7,18.6,0.4,0.1
36.2,100.0,81.9,20.2,2.3,0.2
36.4,132.0,68.5,24.8,2.3,0.3
36.8,126.0,106.9,13.0,3.9,0.9
36.5,133.0,102.0,7.8,1.9,0.1
36.3,126.0,101.6,15.9,0.4,0.7
37.0,135.0,81.2,23.9,0.3,0.7
37.0,122.0,83.5,20.0,1.2,0.7
37.4,102.0,106.2,22.5,1.9,0.6
37.3,99.0,85.5,0.7,2.6,0.2
37.1,113.0,102.8,22.7,2.3,0.2
36.0,91.0,88.4,3.0,2.6,0.8
37.7,130.0,68.5,21.2,3.0,0.1
36.0,116.0,101.5,19.9,3.8,0.5
36.2,117.0,81.1,6.5,1.3,0.8
36.0,92.0,116.6,18.5,1.3,0.4
36.1,127.0,105.4,9.5,2.6,0.3
37.0,116.0,74.6,5.9,3.3,0.2
36.6,126.0,116.2,13.7,3.6,0.8
37.8,88.0,85.0,16.2,0.1,0.8
36.0,122.0,89.3,2.0,1.5,0.5
37.0,137.0,115.0,18.5,2.8,0.6
37.8,82.0,90.5,12.6,3.8,0.7
36.5,97.0,113.6,24.2,3.9,0.2
36.9,128.0,117.3,19.7,3.8,0.0
36.2,91.0,67.8,15.1,2.8,0.4
36.1,96.0,74.5,6.0,2.9,0.8
36.6,139.0,78.9,7.8,0.4,0.6
37.3,114.0,110.5,7.3,1.9,0.1
35.8,138.0,87.2,23.4,1.3,0.5
37.4,93.0,91.4,9.1,3.6,0.9
36.5,89.0,91.5,21.4,2.1,0.4
36.8,97.0,82.2,13.7,0.1,0.4
36.2,85.0,88.3,17.3,2.7,0.2
37.8,127.0,61.6,6.7,1.9,0.7
36.8,123.0,86.3,12.9,1.2,0.5
35.9,131.0,89.0,4.8,2.0,0.4
37.5,117.0,79.6,11.1,3.2,0.6
36.9,133.0,64.3,21.3,0.9,0.6
36.7,124.0,116.0,17.3,2.5,0.9
36.0,91.0,92.5,6.3,1.9,0.1
36.3,110.0,61.8,15.2,1.1,0.5
36.3,126.0,98.4,10.8,3.0,0.9
35.8,94.0,114.0,11.0,2.6,0.9
37.7,111.0,88.7,6.5,2.5,0.8
37.2,100.0,91.3,16.5,2.2,0.2
37.4,139.0,99.8,25.2,2.3,0.0
36.1,116.0,64.9,16.8,3.8,0.6
35.9,117.0,66.1,15.2,1.0,0.3
36.3,95.0,82.1,1.9,1.8,0.5
37.7,129.0,67.9,7.2,0.0,0.1
36.7,130.0,76.8,8.2,0.2,0.8
37.5,136.0,106.3,4.4,3.3,0.8
36.9,100.0,87.3,13.4,2.5,0.5
36.5,84.0,67.7,3.9,3.6,0.2
37.5,81.0,71.4,7.0,2.1,0.5
36.7,139.0,114.5,23.3,1.7,0.9
37.2,133.0,102.6,18.5,2.0,0.8
36.7,106.0,97.3,1.8,2.6,0.3
37.4,86.0,86.3,16.5,3.9,0.2
37.7,136.0,65.9,23.2,3.9,0.9
36.6,131.0,72.2,13.7,3.2,0.5
36.6,110.0,76.0,25.1,2.6,0.3
37.2,95.0,74.8,22.6,2.8,0.2
36.1,109.0,98.0,20.2,0.2,0.3
36.7,81.0,103.5,17.1,3.7,0.2
35.9,83.0,64.8,10.4,2.6,0.9
37.0,133.0,61.3,8.1,1.4,0.9
35.8,101.0,102.1,21.1,2.3,0.5
37.8,109.0,80.1,22.2,1.1,0.1
36.7,119.0,104.2,18.1,0.1,0.3
37.5,114.0,94.9,25.6,0.3,0.4
36.7,113.0,77.0,25.5,1.2,0.5
36.5,127.0,95.5,24.8,0.1,0.3
36.5,136.0,119.3,22.3,1.2,0.3
37.6,115.0,77.7,9.6,0.9,0.9
36.3,97.0,82.2,0.2,3.8,0.0
37.1,93.0,77.7,13.3,0.7,0.2
36.6,92.0,61.6,12.6,1.2,0.6
37.5,99.0,93.6,21.1,1.6,0.1
36.3,80.0,96.6,19.7,2.4,0.1
36.5,133.0,87.8,12.6,3.8,0.9
37.4,132.0,67.8,23.7,3.0,0.2
37.7,118.0,74.1,12.1,2.7,0.3
36.0,124.0,61.3,7.3,1.6,0.7
35.8,92.0,84.5,15.8,1.6,0.8
36.7,90.0,119.0,9.8,3.4,0.0
37.4,92.0,86.9,7.6,2.3,0.5
36.1,122.0,108.6,21.9,1.0,0.7
37.1,135.0,67.7,11.7,1.7,0.1
36.6,138.0,118.9,16.2,0.5,0.0
37.0,92.0,79.6,25.5,0.6,0.0
36.5,80.0,85.5,21.2,1.3,0.6
37.6,104.0,83.0,17.0,0.8,0.1
36.1,123.0,64.1,6.8,2.5,0.1
37.3,91.0,70.0,6.3,0.7,0.7
35.8,102.0,112.1,21.4,3.1,0.6
37.8,127.0,72.5,4.5,0.2,0.8
37.7,102.0,87.9,16.4,1.9,0.9
37.8,124.0,80.5,18.1,1.0,0.4
36.5,96.0,113.4,20.0,0.2,0.7
37.1,84.0,83.1,1.9,0.3,0.9
36.9,105.0,105.5,25.1,1.8,0.4
36.7,96.0,93.4,17.8,3.4,0.7
36.8,98.0,97.9,12.2,3.9,0.6
36.2,96.0,105.8,1.3,2.0,0.1
35.9,114.0,103.5,3.9,1.9,0.4
36.6,90.0,76.9,16.6,3.7,0.3
37.3,137.0,96.7,15.7,1.8,0.4
37.7,82.0,77.9,15.4,2.2,0.1
37.5,139.0,97.7,7.9,3.6,0.1
37.8,124.0,78.0,14.0,1.6,0.1
37.0,116.0,99.1,13.0,2.6,0.1
37.3,85.0,73.8,4.5,2.5,0.6
37.3,92.0,105.7,12.8,3.0,0.6
36.6,119.0,92.9,5.2,3.2,0.1
35.8,126.0,112.5,4.0,1.7,0.3
36.1,127.0,71.8,12.1,1.3,0.2
36.4,130.0,71.7,0.2,2.0,0.0
37.3,80.0,81.7,5.1,2.0,0.7
37.0,120.0,66.5,17.5,0.3,0.0
36.8,134.0,86.9,15.4,0.6,0.7
36.6,136.0,72.2,1.6,3.9,0.5
37.7,83.0,110.5,17.4,2.2,0.5
37.3,132.0,106.5,14.8,3.8,0.8
36.8,135.0,110.8,19.5,2.5,0.0
36.7,95.0,87.4,10.9,3.7,0.6
36.8,96.0,75.3,4.5,0.8,0.5
36.9,89.0,88.9,15.5,1.9,0.1
36.0,140.0,64.2,9.9,0.6,0.8
36.6,93.0,108.3,24.8,1.3,0.9
35.8,136.0,70.2,1.5,2.3,0.1
36.8,84.0,86.0,4.0,0.6,0.7
37.5,87.0,86.9,17.9,1.2,0.3
37.4,113.0,103.9,10.9,3.2,0.1
36.2,94.0,70.1,11.7,2.3,0.4
36.2,102.0,66.2,10.7,2.4,0.0
37.5,113.0,95.7,19.9,3.2,0.0
36.3,127.0,63.6,21.7,3.9,0.6
36.5,139.0,99.6,18.3,3.7,0.6
36.8,115.0,95.5,15.6,2.8,0.6
36.3,137.0,74.8,14.0,2.9,0.2
35.9,83.0,77.1,2.1,2.5,0.9
36.9,92.0,105.6,10.1,3.4,0.9
36.2,134.0,69.6,11.3,0.9,0.3
37.6,112.0,105.4,24.5,1.1,0.3
37.2,122.0,98.5,25.1,0.0,0.1
37.1,130.0,104.8,24.2,2.5,0.0
37.3,131.0,106.3,13.9,2.6,0.5
37.5,125.0,86.3,4.1,0.6,0.2
37.0,108.0,84.6,1.0,2.0,0.3
37.5,109.0,74.5,9.7,0.4,0.9
36.3,101.0,76.7,2.1,0.4,0.3
37.3,132.0,81.9,18.8,1.2,0.6
36.3,80.0,78.8,11.0,2.7,0.2
36.7,126.0,79.4,22.3,0.6,0.6
37.0,100.0,106.1,14.7,0.6,0.1
37.0,95.0,65.7,7.0,1.1,0.8
36.4,94.0,88.8,2.6,2.9,0.3
36.1,100.0,104.9,9.1,3.7,0.7
36.6,101.0,120.6,13.0,2.5,0.2
36.8,92.0,88.3,1.6,0.3,0.1
37.1,102.0,110.8,12.7,3.9,0.8
35.9,121.0,64.1,20.5,1.5,0.5
36.2,117.0,106.4,6.3,2.9,0.1
36.8,93.0,106.3,16.0,1.2,0.3
37.1,130.0,68.5,6.7,1.6,0.9
36.7,120.0,61.7,14.9,3.1,0.7
37.2,124.0,61.4,2.4,1.7,0.6
36.0,84.0,60.3,1.1,1.7,0.9
37.4,102.0,67.7,23.7,2.5,0.5
36.1,104.0,82.1,5.7,2.8,0.6
37.3,125.0,65.9,17.5,1.6,0.3
37.3,92.0,86.6,13.9,0.0,0.8
36.1,85.0,74.1,13.8,3.6,0.9
37.4,102.0,114.2,2.6,3.6,0.8
36.3,117.0,60.2,25.9,0.0,0.9
35.8,110.0,61.1,16.6,1.1,0.5
36.3,87.0,119.8,24.6,0.7,0.7
35.9,132.0,67.5,24.0,2.7,0.5
36.9,89.0,60.2,22.7,3.2,0.6
35.9,118.0,78.1,8.1,2.7,0.5
36.7,109.0,77.9,18.2,3.5,0.6
36.8,117.0,83.1,5.3,3.7,0.2
35.9,99.0,94.6,12.2,1.2,0.2
37.1,114.0,103.8,19.3,0.3,0.6
36.2,127.0,70.8,16.9,1.5,0.3
36.9,96.0,61.8,15.1,1.5,0.2
35.9,122.0,114.5,2.4,1.7,0.0
36.2,94.0,74.4,7.4,1.2,0.1
36.2,139.0,76.6,15.1,1.8,0.1
37.0,123.0,78.8,15.4,1.9,0.2
36.6,113.0,119.9,21.0,2.5,0.6
37.6,138.0,102.7,17.1,2.4,0.4
36.2,98.0,66.2,10.5,1.5,0.3
36.1,139.0,116.5,14.4,3.6,0.1
